Name,Sector,Industry
Blackrock MuniYield Investment QualityFund,n/a,n/a
"Blackrock MuniYield Michigan Quality Fund, Inc.",n/a,n/a
"Blackrock MuniYield New Jersey Fund, Inc.",n/a,n/a
"Blackrock MuniYield New York Quality Fund, Inc.",n/a,n/a
Blackrock MuniYield Pennsylvania Quality Fund,n/a,n/a
"Blackrock MuniYield Quality Fund II, Inc.",n/a,n/a
"Blackrock MuniYield Quality Fund III, Inc.",n/a,n/a
"Blackrock MuniYield Quality Fund, Inc.",n/a,n/a
BlackRock New Jersey Municipal Income Trust,n/a,n/a
BlackRock New York Investment Quality Municipal Trust Inc. (Th,n/a,n/a
Blackrock New York Municipal 2018 Term Trust,n/a,n/a
Blackrock New York Municipal Bond Trust,n/a,n/a
Blackrock New York Municipal Income Quality Trust,n/a,n/a
BlackRock Resources,n/a,n/a
BlackRock Science and Technology Trust,n/a,n/a
BlackRock Strategic Municipal Trust Inc. (The),n/a,n/a
BlackRock Utility and Infrastructure Trust,n/a,n/a
"BlackRock, Inc.",Finance,Investment Bankers/Brokers/Service
Blackstone / GSO Strategic Credit Fund,n/a,n/a
Blackstone GSO Long Short Credit Income Fund,n/a,n/a
Blackstone GSO Senior Floating Rate Term Fund,n/a,n/a
"Blount International, Inc.",Capital Goods,Industrial Machinery/Components
Blue Capital Reinsurance Holdings Ltd.,Finance,Property-Casualty Insurers
BlueLinx Holdings Inc.,Capital Goods,Wholesale Distributors
Boardwalk Pipeline Partners L.P.,Public Utilities,Natural Gas Distribution
Boeing Company (The),Capital Goods,Aerospace
"Boise Cascade, L.L.C.",Consumer Services,RETAIL: Building Materials
"Bonanza Creek Energy, Inc.",Energy,Oil & Gas Production
"Boot Barn Holdings, Inc.",Consumer Services,Clothing/Shoe/Accessory Stores
Booz Allen Hamilton Holding Corporation,Consumer Services,Professional Services
BorgWarner Inc.,Capital Goods,Auto Parts:O.E.M.
"Boston Beer Company, Inc. (The)",Consumer Non-Durables,Beverages (Production/Distribution)
"Boston Properties, Inc.",Consumer Services,Real Estate Investment Trusts
"Boston Properties, Inc.",n/a,n/a
Boston Scientific Corporation,Health Care,Medical/Dental Instruments
"Box, Inc.",Technology,Computer Software: Prepackaged Software
Boyd Gaming Corporation,Consumer Services,Hotels/Resorts
BP p.l.c.,Energy,Integrated oil Companies
BP Prudhoe Bay Royalty Trust,Energy,Integrated oil Companies
BPC Acquisition Corp,Consumer Non-Durables,Plastic Products
Brady Corporation,Consumer Durables,Miscellaneous manufacturing industries
Brandywine Realty Tr,n/a,n/a
Brandywine Realty Trust,Consumer Services,Real Estate Investment Trusts
Brasilagro Cia Brasileira De Propriedades Agricolas,Consumer Non-Durables,Farming/Seeds/Milling
Braskem S.A.,Basic Industries,Major Chemicals
BRF S.A.,Consumer Non-Durables,Meat/Poultry/Fish
"Bridgepoint Education, Inc.",Consumer Services,Other Consumer Services
Briggs & Stratton Corporation,Energy,Industrial Machinery/Components
Bright Horizons Family Solutions Inc.,Miscellaneous,Other Consumer Services
"Brinker International, Inc.",Consumer Services,Restaurants
Brink&#39;s Company (The),Transportation,Oil Refining/Marketing
